name,state,2013,2014,2015,2016,2017,2018,2019
Alabama,AL,1,1,1,1,1,1,1
Alaska,AK,0,0,0,0,0,0,0
Arizona,AZ,0,0,0,0,0,0,0
Arkansas,AR,1,1,1,1,1,1,0
California,CA,0,0,0,0,0,0,0
Colorado,CO,1,1,1,1,1,1,1
Connecticut,CT,0,0,0,0,0,0,0
Delaware,DE,0,0,0,0,0,0,0
District of Columbia,DC,0,0,0,0,0,0,0
Florida,FL,1,1,1,1,1,1,1
Georgia,GA,0,0,0,0,0,0,0
Hawaii,HI,0,0,0,0,0,0,0
Idaho,ID,0,0,0,0,0,0,0
Illinois,IL,0,0,0,0,0,0,0
Indiana,IN,0,0,0,0,0,0,0
Iowa,IA,1,1,1,1,1,1,1
Kansas,KS,0,0,0,0,0,0,0
Kentucky,KY,0,0,0,0,0,0,0
Louisiana,LA,1,1,1,1,1,1,1
Maine,ME,0,0,0,0,0,0,0
Montana,MT,1,1,1,1,1,1,1
Nebraska,NE,1,1,1,1,1,1,1
Nevada,NV,1,1,1,1,1,1,1
New Hampshire,NH,0,0,0,0,0,0,0
New Jersey,NJ,0,0,0,0,0,0,0
New Mexico,NM,0,0,0,0,0,0,0
New York,NY,0,0,0,0,0,0,0
North Carolina,NC,1,1,1,1,1,1,1
North Dakota,ND,0,0,0,0,0,0,0
Ohio,OH,0,0,0,0,0,0,0
Oklahoma,OK,0,0,0,0,0,0,0
Oregon,OR,0,0,1,1,1,0,0
Maryland,MD,0,0,0,0,0,0,0
Massachusetts,MA,0,0,0,0,0,0,0
Michigan,MI,1,1,1,1,1,1,1
Minnesota,MN,1,1,1,1,1,1,1
Mississippi,MS,0,0,0,0,0,0,0
Missouri,MO,1,1,1,1,1,1,1
Pennsylvania,PA,1,1,1,1,1,1,1
Rhode Island,RI,0,0,0,0,0,0,0
South Carolina,SC,1,1,1,1,1,1,1
South Dakota,SD,0,0,0,0,0,0,0
Tennessee,TN,1,1,1,1,1,1,1
Texas,TX,1,1,1,1,1,1,1
Utah,UT,1,1,1,1,1,1,1
Vermont,VT,0,0,0,0,0,0,0
Virginia,VA,1,1,1,1,1,1,1
Washington,WA,1,1,1,1,1,1,1
West Virginia,WV,0,0,0,0,0,0,0
Wisconsin,WI,1,1,1,1,1,1,1
Wyoming,WY,0,0,0,0,0,1,1
